Sentence,Label
Explain the credit card options you have.,7
What is the process for opening a bank account?,8
"Got the information, thanks",1
What is your work?,3
What functionalities can you execute?,3
Analyse expenses,4
can you tell me what I have spent already?,4
help please,3
what are your features?,3
how much money i used,4
show my expenditure,4
was nice talking to you,1
so what can you help me with?,3
used funds,4
Explain the account opening procedures.,8
what features you possess?,3
what can i do here,3
current monthly savings,5
wallet info,2
Hi,0
How much is left in my account?,2
Tell my expenses for this month,4
What tasks can you execute?,3
Hello bot,0
Is anyone there?,0
I want to get money in purse,2
what are the available loan options,6
Hi can we talk?,0
What credit card choices are offered?,7
What is your use?,3
so what can you do,3
What was my expenditure for this my month,4
Hi can we talk?,0
what is this bot for,3
How much money do I have in my account,2
Expenditure trend please,4
see you around,1
hello robot,0
Show the types of accounts available?,8
Pattern of my expenditure please,4
What is your function?,3
How much is my monthly savings,5
how to get a loan,6
I'd like to know more about the credit card options.,7
total funds I have,2
loan info,6
how to apply for a loan?,6
good night,1
hello it is me again,0
how can you help me,3
Hi bot,0
get my funds distributed,4
different credit card options,7
What types of accounts can I open with your bank?,8
what all options do I have,3
farewell,1
bye then,1
get my account value,2
How much did i spend?,4
how much did i save this month?,5
goodnight,1
can I open a new account?,8
talk to you later,1
hello is anybody there,0
"Hi, please help me",0
see ya,1
credit card options,7
what are the account options?,8
What types of loans can I apply for?,6
options,3
thanks,1
understood,1
how to apply for a new account?,8
What features do you have?,3
see you soon,1
what can I do here,3
bye,1
what did i save this month,5
please tell me what credit card options are there?,7
give me my total number,2
how to get a credit card,7
get my account balance,2
what else can i do?,3
hi it is me again,0
Categorise my expenditure,4
"hi, wanted to talk to you",0
catch you later,1
Where did i spend money this month?,4
Tell me about the credit cards I can get.,7
"I got it, thanks",1
What can I ask you?,3
how to open an account?,8
what are you good at?,3
What are my credit card choices?,7
cool! can I do something else here?,3
tell me how much money do i have?,2
How much money is there for me to spend?,2
show how much I saved this month,5
what are the available account options?,8
thank you very much,1
What do you do?,3
appreciate your help,1
give loan options,6
What is there in my wallet,2
What is my total expenditure for this month?,4
what is my account balance?,2
What is my total expenditure?,4
bye bye,1
can I get a loan,6
help,3
hey,0
How can you assist me?,3
What features do you have?,3
"Thanks, see you soon",1
give me my wallet balance?,2
See you later,1
savings info,5
tell me my total money on my account,2
What are the steps for opening an account with your bank?,8
What tasks can you perform?,3
How can I get started with a bank account?,8
What are my monthly savings,5
hey could you tell me what are my used funds for the current month,4
how much I've already spent?,4
hey I want to know how much money left on my purse,2
Hi wanted to chat with you,0
Please inform me about how much I saved this month,5
Categorise my spending,4
What is the status of my account?,2
Goodbye,1
am I eligible for a loan?,6
show me what's possible,3
"hi, let's talk",0
"Hello, please help me",0
open new account,8
new account options,8
Tell me about the different loan options you offer,6
Hello wanted to chat with you,0
Provide details on the various credit card options.,7
Hi robot,0
What is the status of my purse?,2
new account info,8
types of loan,6
Tell me about the different credit card options.,7
hi it is me again,0
please tell me my monthly savings,5
Categorize my expenses,4
credit card info,7
How can this bot help me?,3
Can you please tell me how much money is there in my account,2
What all can you do,3
I need some help,3
hola,0
How much have I spent this month,4
see you in a while,1
ok I want to get my account spending,4
What can you do for me?,3
"hello, wanted to talk to you",0
Well hello there ;),0
please tell me what loans I can get,6
how much money did i save this month?,5
How much money can I spend,2
the amount I have spent as of now,4
How much is left in my wallet?,2
tell my monthly savings,5
where did i spend my money?,4
help me,3
Please provide information about the available credit card options.,7
I got it,1
where all have i spent my money,4
Tell me how much did I spend this month,4
Spending patterns,4
What is your job?,3
how much money I own on my purse?,2
did i save anything this month?,5
what's in my purse,2
so long,1
well good bye,1
what types of loan do you have?,6
what can I do with this bot,3
How are you,0
have a nice day,1
Tell me about the different account types you offer.,8
what are the loan options,6
what can i do now,3
Please tell me how much money is there in my account,2
Can you list the credit card options available?,7
what all can you help with me?,3
What functions do you have?,3
Please give me information about my monthly savings,5
Give information on the account options available.,8
"hello, let's talk",0
How can  you help me? ,3
Well hi there ;),0
Pie chart of expenses,4
What are the steps for getting a loan,6
Hello,0
give monthly savings,5
"I got it, appreciate the help",1
"hey, let's talk",0
how much funds are available on my account?,2
i don't know what i want,3
"hey, I am back ",0
what are my funds?,2
pictorial representation,4
Please tell me how to open an account with your bank.,8
thanks a lot,1
What credit card options do you provide?,7
